Nombre ,Calle ,Teléfono ,Contacto,Correo
Quality Bolca S.A de C.V,"Av. Independencia  203 Paseos de Aguascalientes C.P 20911
",9139955,,
Ditromexico S.A. de C.V.,"PABELLON DE ARTEAGA 114 PARQUE INDUSTRIAL DEL VALLE DE AGUASCALIENTES C.P 20358 SAN FRANCISCO DE LOS ROMO, AGS",01 (449) 9734300,,
Grupo FARSANMAR S.A. de C.V.,"Avenida Circuito Aguascalientes 142-D Parque Industrial del Valle de Aguascalientes San Francisco de los Romo Aguascalientes C,P 20329",(449) 1-58-24-00,Andres Ramirez,andres.ramirez@farmaciastamaria.com
SIA AUTOMATION S. DE R.L DE C.V,AV. PASEO DE LOS INSURGENTES 304 INT. 20 JARDINES  DEL MORAL CP 37160 Leon Guanajuato ,9711951,Israel Bueno ,i.bueno@sia-automation.com.mx
SANDRA ELISA HERNANDEZ,Jesus Rivera Franco 301 Cd. Industrial Aguascalientes C.p 20290,9712479 - 9712353-6887018,oscar calzada rodriguez ,oscarespmec@outlook.com
QUALITY DE AGUASCALIENTES S.A. DE C.V.,Av. Canal interceptor 703 Int. 5 Las arboledas Aguascalientes C.P 20020,1759823,Marisol Haro,marisol.haro@quagsa.com.mx
TF-METAL MEXICO SA DE CV,Circuito Cerezos Sur No 105 san Francisco de los Romo Aguascalientes C.P 20304,52 449 922 40 00 ext. 201,salvador Duenas ,s-duenas@tf-metal.mx
VITECHMEX NONWOVENS SA DE CV,CARRETERA 45 NORTE KM 14.3 325-B J. Gomez Portugal C.P 20909 Aguascalientes,1535700- 1535711,Nancy Martinez ,nmartinez@vitechmfgmx.com
METALISTIK SA DE CV,CARRETERA PANAMERICANA NORTE KM 14 INT. 15 PASEOS DE GOMEZ PORTUGAL JESUS GOMEZ PORTUGAL JESUS MARIA AGS. ,449 188 42 19,Javier Delgado ,javier.delgado@metalistik.com
MGM NUTRICION ANIMAL SA DE CV,Carretera a San Luis Potosi km 14.5 El Retono Aguascalientes ,9711914,Ing. Cuahutemoc Sanchez,csanchez@mgmnutricionanimal.com
MEXICO MURATA SPRING CORPORATION S.A DE C.V,PROLONGACION CONSTITUCION 802 EL PUERTECITO DE LA VIRGEN AGUASCALIENTES C.P 20329,449 412 36 33,Jose Haro ,jharo@mexicomsc.com
SHOSHIBA MEXICANA SA DE CV,CARRETERA 45 NORTE KM 14.3 325 A JESUS MARIA PORTUGAL AGUASCALIENTES C.P 20909,929 5434,Adan Murillo ,adan.murillo@shoshiba.com.mx
